married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
True,white,reject,1,128,74,1,1,False,4.58,160.0,52.0,2,2,False,2,male
False,white,approve,1,128,84,1,0,False,2.67,143.0,37.0,2,2,False,2,male
True,white,approve,1,66,36,1,0,True,3.0,110.0,19.0,2,6,True,2,male
True,white,approve,1,120,59,1,0,False,2.58,134.0,31.0,2,1,False,1,male
False,white,approve,1,111,63,1,0,False,2.21,138.0,169.0,2,6,False,2,male
False,white,approve,1,141,72,1,0,False,6.0,157.0,38.0,2,1,False,1,male
False,white,approve,1,276,90,1,0,False,7.5,346.0,142.0,2,1,False,2,male
True,white,approve,1,100,72,1,1,False,3.23,99.7,24.5,2,1,False,2,male
True,white,approve,1,267,144,1,2,True,5.42,422.0,111.0,1,1,False,2,male
True,white,approve,1,175,97,1,0,False,6.29,346.7,186.6,1,2,False,2,male
True,white,approve,1,95,46,1,0,False,2.33,135.0,52.33,2,6,False,2,male
True,white,approve,1,110,60,1,0,False,5.72,143.0,153.0,1,3,False,2,male
True,white,approve,1,40,48,1,0,False,3.1,197.0,34.0,1,1,False,2,male
True,black,approve,1,70,33,1,1,True,2.8,78.0,10.0,2,1,False,1,male
True,white,approve,1,168,66,1,2,False,4.01,210.0,66.0,2,1,False,2,male
True,white,approve,2,114,98,1,1,False,5.44,170.0,36.0,1,1,False,1,male
True,white,approve,1,185,99,1,0,False,5.6,196.0,24.0,2,1,False,2,male
True,white,approve,1,126,55,1,1,False,3.08,140.0,19.0,2,1,False,2,male
True,white,approve,1,70,47,1,2,False,3.2,70.0,11.5,1,1,False,2,male
True,white,approve,1,125,59,1,0,True,3.0,180.0,8.0,1,1,False,2,male
False,white,approve,1,130,135,1,0,False,11.28,230.0,124.0,2,1,False,2,male
True,white,approve,1,109,52,1,2,False,2.5,115.0,13.6,2,1,False,2,male
True,black,approve,1,200,117,1,2,False,3.07,250.0,83.5,1,5,False,2,male
False,white,reject,1,114,56,1,0,False,1.85,120.0,14.0,2,1,False,2,male
True,white,approve,1,17,31,1,2,False,1.3,57.0,50.0,2,1,False,2,male
True,hispan,approve,1,208,82,1,2,False,5.0,260.0,14.0,1,1,False,2,male
False,white,approve,1,125,64,1,0,False,4.95,225.0,219.0,1,1,False,2,male
False,white,approve,1,100,44,1,1,False,3.6,100.0,20.0,1,1,False,2,male
True,white,approve,1,100,59,1,2,False,2.34,125.0,3.0,2,1,False,2,male
False,black,reject,1,76,42,1,0,False,3.51,80.0,8.0,2,6,False,2,female
False,white,approve,1,140,63,1,0,False,5.23,200.0,123.0,2,1,False,2,female
False,white,approve,1,70,31,1,0,False,2.57,77.0,11.0,2,1,False,1,male
True,white,approve,1,115,73,1,0,False,2.6,128.0,23.0,2,1,False,2,male
True,white,approve,1,252,106,1,1,True,5.17,315.0,29.0,1,2,False,2,male
True,white,reject,1,104,92,1,0,False,7.66,130.0,1.0,2,6,False,1,male
True,white,approve,1,100,53,1,0,False,3.33,270.0,17.0,1,1,False,2,male
True,white,approve,1,100,123,1,0,False,6.33,125.0,26.0,2,6,False,2,female
True,white,approve,1,315,139,1,1,False,5.96,355.0,42.9,1,1,False,2,male
True,black,reject,1,116,62,1,0,False,2.6,145.0,1.0,2,4,False,2,male
False,white,approve,1,112,60,1,0,True,5.0,140.0,49.0,2,2,False,2,male
True,hispan,reject,1,112,68,1,2,False,3.36,118.0,9.0,3,6,False,2,male
False,black,approve,1,78,39,1,0,False,3.28,115.0,31.0,2,6,False,1,male
True,black,approve,1,151,74,2,1,False,3.72,158.0,14.0,2,5,False,3,male
True,white,approve,1,115,57,1,0,True,3.9,150.0,6.0,1,2,False,2,male
True,white,approve,1,152,72,2,0,True,2.16,140.0,47.0,2,1,False,3,male
False,hispan,approve,1,59,27,1,1,False,2.23,66.0,11.0,2,2,False,1,female
True,white,reject,2,147,54,1,2,False,3.88,165.0,34.0,2,5,False,2,male
False,hispan,approve,1,80,44,1,0,False,3.68,101.0,34.0,2,1,False,1,male
True,white,approve,1,130,55,1,0,False,2.82,144.0,26.0,2,1,False,2,male
True,white,approve,1,187,103,1,1,False,4.04,330.0,44.02,1,1,False,2,male
False,white,approve,1,90,40,1,0,True,3.33,145.0,94.0,2,1,False,2,male
False,white,approve,1,115,52,1,0,False,4.33,165.0,207.0,2,1,False,2,male
True,white,approve,1,191,115,1,0,True,9.56,410.0,76.0,1,6,False,2,male
False,white,reject,1,123,61,1,0,False,2.4,136.0,5.0,2,2,True,1,male
True,white,approve,1,122,61,1,0,False,2.8,138.0,25.0,2,2,False,2,male
False,white,approve,1,68,35,1,0,False,2.89,135.0,144.0,2,1,False,2,male
True,hispan,approve,1,128,72,1,2,False,2.2,160.0,62.0,3,6,True,2,male
False,white,approve,1,134,57,1,0,False,2.77,154.0,32.0,2,1,False,2,male
True,white,approve,1,72,35,1,2,False,2.92,96.0,1.0,1,1,False,1,female
True,white,approve,1,110,63,1,2,False,4.23,141.0,13.1,2,5,False,2,male
True,white,approve,1,138,71,1,0,False,2.99,153.0,20.73,2,1,False,2,female
True,hispan,approve,1,248,95,1,2,False,5.4,295.0,57.0,2,1,False,1,male
True,white,approve,1,99,64,1,0,False,4.19,110.0,23.4,2,5,False,2,male
True,white,approve,1,187,84,1,1,False,5.85,268.0,149.0,2,1,False,2,male
False,white,approve,1,90,27,1,0,False,3.09,145.0,72.0,2,1,False,2,male
False,white,approve,2,130,27,2,0,False,3.12,155.0,25.0,2,1,False,3,male
False,white,approve,1,2,35,1,0,False,2.96,95.0,21.0,2,1,False,1,male
False,black,approve,1,132,59,1,1,False,4.02,149.0,23.0,2,1,False,2,female
True,black,approve,1,162,53,2,1,False,2.18,170.0,19.0,2,1,False,3,male
False,white,reject,1,40,50,1,4,False,4.17,50.0,17.0,3,3,True,2,male
True,white,approve,1,150,66,1,0,False,3.0,167.0,38.0,2,1,False,2,male
False,white,approve,1,94,43,1,0,False,2.37,99.0,8.0,2,2,False,2,male
False,black,approve,1,120,70,1,2,False,3.75,150.0,38.0,2,1,False,2,female
True,white,approve,1,50,42,1,0,False,3.52,165.0,80.5,2,2,False,2,male
False,white,approve,1,180,157,1,0,False,4.44,225.0,72.0,1,2,False,2,male
True,white,approve,1,201,120,1,1,False,4.17,223.0,27.0,1,2,False,2,male
True,white,approve,1,183,100,1,0,False,3.73,192.0,23.0,2,5,False,2,female
True,white,approve,1,170,71,1,1,False,3.5,231.0,101.0,2,3,False,2,male
True,white,reject,1,166,146,1,2,True,12.17,208.0,55.0,2,4,False,2,male
False,white,reject,1,74,38,1,0,False,3.17,81.0,15.0,2,1,False,1,male
False,black,reject,1,124,56,1,0,False,4.67,162.0,43.0,2,1,False,1,female
False,white,approve,1,106,56,1,1,True,4.69,132.0,33.61,2,1,False,2,male
True,black,approve,1,114,70,1,0,False,3.5,131.0,35.0,2,1,False,2,male
False,white,approve,1,131,68,1,1,False,5.67,145.0,38.0,2,2,False,1,male
True,hispan,approve,1,192,105,1,2,False,8.75,225.0,17.0,1,1,False,2,female
False,white,approve,1,101,52,1,0,False,2.49,107.0,17.68,2,1,False,1,male
False,white,approve,1,68,36,1,0,False,3.04,85.0,24.0,2,2,False,1,female
False,white,approve,1,155,65,2,0,False,2.54,172.0,28.0,2,1,False,3,female
True,white,approve,1,200,90,1,2,False,4.58,300.0,122.0,2,1,False,1,male
True,white,approve,1,115,52,1,0,False,2.28,137.0,21.0,2,1,False,2,male
True,black,approve,1,126,49,1,3,False,3.79,171.0,10.0,2,6,True,2,male
True,white,reject,1,100,38,1,0,False,1.83,122.0,16.0,2,6,False,2,male
False,white,approve,1,235,99,1,0,False,8.28,255.0,0.9,1,1,False,2,male
True,white,approve,1,65,32,1,0,False,2.77,72.4,15.5,2,1,False,2,male
True,hispan,approve,1,144,62,3,0,False,3.67,160.0,19.0,2,1,False,3,female
False,white,approve,1,135,63,1,0,False,5.29,180.0,58.0,2,1,False,2,female
False,white,approve,2,184,50,1,0,False,4.17,230.0,50.0,1,1,False,1,male
False,white,approve,1,110,65,1,0,False,3.75,167.0,71.0,2,1,False,2,male
False,hispan,approve,1,149,58,1,0,False,4.8,165.0,50.1,2,1,False,1,female
False,black,reject,1,80,43,1,0,False,3.6,100.0,15.5,2,4,False,1,male
False,white,approve,1,47,36,1,0,False,1.8,67.5,5.152,2,2,False,1,male
True,hispan,reject,1,48,42,1,1,False,1.89,62.9,34.0,2,2,False,2,male
True,white,approve,1,160,119,1,2,True,7.4,300.0,198.0,2,1,False,2,male
True,white,approve,1,75,24,1,0,False,2.4,100.0,56.0,2,1,False,2,male
False,white,approve,1,28,25,1,4,False,2.08,100.0,54.0,2,2,False,1,female
False,white,approve,1,187,62,1,0,True,5.14,280.0,54.45,4,3,False,2,male
True,hispan,approve,1,180,40,2,4,True,8.68,200.5,37.0,2,1,False,3,male
True,black,approve,1,100,120,1,1,False,3.78,100.0,100.0,1,1,False,2,male
True,white,approve,1,132,72,1,1,False,3.29,165.0,45.0,2,5,True,2,male
True,white,approve,1,160,68,2,2,False,5.66,240.0,80.0,1,1,False,3,male
True,white,approve,1,134,75,1,0,False,3.94,150.0,21.0,1,1,False,1,male
True,white,approve,1,91,63,1,0,False,2.82,114.0,19.0,2,2,False,2,male
False,white,approve,1,125,51,1,0,False,3.76,195.0,80.0,1,1,False,2,female
True,white,approve,1,96,64,1,0,True,4.7,120.0,10.4,1,3,False,2,male
False,white,approve,1,88,41,1,0,False,3.41,110.0,37.0,2,1,False,1,female
True,white,approve,2,44,68,1,1,False,5.65,55.0,3.0,1,1,False,2,male
False,white,approve,1,100,77,1,0,False,2.79,126.0,38.0,1,1,False,2,male
False,white,approve,1,56,104,1,0,False,8.67,75.0,38.43,2,1,False,1,male
True,white,approve,1,182,98,2,2,False,3.02,202.0,23.6,2,5,False,3,male
True,white,approve,1,86,51,1,0,False,2.12,115.0,31.0,2,2,False,2,male
True,white,approve,1,129,90,1,3,False,4.28,233.0,12.0,1,1,False,2,male
